0000011,201410
0000012,201410
0000014,201410
0000184,201410
0000660,201410
0000998,201410
0001003,201410
0001004,201410
0001064,201410
0001154,201410
0001408,201410
0001411,201410
0001412,201410
0001413,201410
0001450,201410
0001632,201410
0001898,201410
0002218,201410
0002907,201410
0003004,201410
0003053,201410
0003119,201410
0003142,201410
0003355,201410
0003942,201410
0004026,201410
0004260,201410
0004616,201410
0006522,201410
0007045,201410
0007093,201410
0007124,201410
0007144,201410
0007151,201410
0007152,201410
0007195,201410
0007199,201410
0007277,201410
0007432,201410
0008069,201410
0008095,201410
0008124,201410
0008214,201410
0008432,201410
0008726,201410
0008736,201410
0009148,201410
0009355,201410
0009451,201410
0010159,201410
0010187,201410
0011024,201410
0011051,201410
0011768,201410
0012040,201410
0012076,201410
0012237,201410
0012454,201410
0012799,201410
0012835,201410
0012836,201410
0012909,201410
0013059,201410
0013087,201410
0013088,201410
0013211,201410
0013242,201410
0013356,201410
0013696,201410
0014016,201410
0014322,201410
0014344,201410
0015414,201410
0015634,201410
0015636,201410
0015966,201410
0016279,201410
0017061,201410
0017064,201410
0017069,201410
0017262,201410
0017412,201410
0017488,201410
0018149,201410
0018657,201410
0018871,201410
0019119,201410
0021416,201410
0021449,201410
0022337,201410
0023447,201410
